Accession	Species	Country	Isolation Year	Genotype	Subtype	Strain/clone	Length	Genomic region	Region
AF322109	Capra hircus	Norway	1991	C	NK	1GA	8919	Genome	Europe
AY445885	Capra hircus	Switzerland	1999	A	4	G4668	9023	Genome	Europe
KT898826	Ovis aries	Jordan	2007	F	NK	Jord1	9136	Genome	W. Asia
HQ848062	Ovis aries	Spain	2005	A	NK	697	9175	Genome	NULL
NC_001463	Capra hircus	United States	1974	B	1	Clements	9189	Genome	N. America
M31646	Ovis aries	South Africa	1976	A	1	SA-OMVV	9256	Genome	Africa
M34193	Ovis aries	South Africa	1976	A	1	SA-OMVV	9256	Genome	Africa
A15114	Ovis aries	Iceland	1949	A	1	Sheep	9202	Genome	Europe
M60610	Ovis aries	Iceland	1949	A	1	Sheep	9225	Genome	Europe
A15114	Ovis aries	Iceland	1951	A	1	Sheep	9202	Genome	Europe
M51543	Ovis aries	Iceland	1952	A	1	Sheep	9202	Genome	Europe
M10608	Ovis aries	Iceland	1953	A	1	Sheep	9203	Genome	Europe
U35676	Ovis aries	France	1994	A	6	676	475	Pol	Europe
FR693812	Capra hircus	Italy	2010	A	11	2798.4/UM/10	648	Gag	Europe
FR828809	Ovis aries	Italy	2010	A	9	LaSaz06/UM/10	660	Gag	Europe
FJ623122	Ovis aries	Poland	2008	A	12	4007	1004	Gag	Europe
FJ623120	Ovis aries	Poland	2008	A	13	16	1004	Gag	Europe
JQ611029	Ovis aries	Slovenia	2011	A	15	31-12s	1061	Pol	Europe
EU010125	Capra hircus	Italy	2006	A	8	It-008g03	1305	Gag	Europe
JX469607	Capra hircus	Slovenia	2008	A	14	2-15g	1523	Gag-pol	Europe
AY454189	Capra hircus	Switzerland	1999	A	3	SNCR5594	1703	Gag-Pol	Europe
AY454208	Capra hircus	Switzerland	1999	A	7	SNCR5692	1706	Gag-Pol	Europe
AY454175	Capra hircus	Switzerland	1999	A	5	SNCR5560	1709	Gag-Pol	Europe
S51392	Ovis aries	United Kingdon	1984	A	1	EV1	9203	Genome	Europe
DQ632733	Ovis aries	Spain	2005	D	NK	Ov-1	1130	Pol	Europe
AF479638	Ovis aries	Portugal	1996	A	1	P1OLV	9189	Genome	Europe
MG996440	Capra hircus	Mexico	2013	B	1	SRLV/B1/Goat/MX/INIFAP-1/2013	2013	9131	N. America
EU293537	Capra hircus	Italy	2008	E	NK	Roccaverano	8418	Genome	Europe
FJ195346	Ovis aries	Spain	2004	B	1	496	9136	Genome	Europe
GU120138	Capra	China	2009	B	1	Shanxi	9065	Genome	E. Asia
