taxon	sequenceID	host	name	subgenus	scaffold	orientation
alignment/AL_MELV/member/ncbi-curated-erv/JQ700124	JQ700124	Lontra canadensis	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700125	JQ700125	Lontra canadensis	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700126	JQ700126	Lontra canadensis	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700127	JQ700127	Lontra canadensis	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700128	JQ700128	Lontra canadensis	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700129	JQ700129	Lontra canadensis	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700130	JQ700130	Lontra canadensis	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700131	JQ700131	Lontra canadensis	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700132	JQ700132	Lontra canadensis	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700133	JQ700133	Lontra canadensis	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700134	JQ700134	Mustela erminea	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700135	JQ700135	Mustela erminea	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700136	JQ700136	Mustela erminea	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700137	JQ700137	Mustela erminea	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700138	JQ700138	Mustela erminea	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700139	JQ700139	Mustela erminea	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700140	JQ700140	Mustela erminea	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700141	JQ700141	Mustela erminea	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700142	JQ700142	Mustela eversmannii	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700143	JQ700143	Mustela eversmannii	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700144	JQ700144	Mustela eversmannii	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700145	JQ700145	Mustela eversmannii	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700146	JQ700146	Mustela eversmannii	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700147	JQ700147	Mustela eversmannii	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700148	JQ700148	Mustela eversmannii	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700149	JQ700149	Mustela eversmannii	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700150	JQ700150	Mustela eversmannii	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700151	JQ700151	Mustela eversmannii	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700152	JQ700152	Mustela eversmannii	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700153	JQ700153	Mustela frenata	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700154	JQ700154	Mustela frenata	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700155	JQ700155	Mustela frenata	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700156	JQ700156	Mustela frenata	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700157	JQ700157	Mustela frenata	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700158	JQ700158	Mustela frenata	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700159	JQ700159	Mustela frenata	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700160	JQ700160	Mustela frenata	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700161	JQ700161	Mustela frenata	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700162	JQ700162	Mustela nigripes	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700163	JQ700163	Mustela nigripes	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700164	JQ700164	Mustela nigripes	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700165	JQ700165	Mustela nigripes	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700166	JQ700166	Mustela nigripes	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700167	JQ700167	Mustela nigripes	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700168	JQ700168	Mustela nigripes	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700169	JQ700169	Mustela nigripes	MELV	-	-	-
alignment/AL_MELV/member/ncbi-curated-erv/JQ700170	JQ700170	Mustela nigripes	MELV	-	-	-
