taxon	sequenceID	host	name	subgenus	scaffold	orientation
alignment/AL_SpELV/member/fasta-digs-erv/SpELV.1-Pedetes_capensis	SpELV.1-Pedetes_capensis	Pedetes capensis	SpELV	-	VMDO01011022.1	+
alignment/AL_SpELV/member/fasta-digs-erv/SpELV.14-Pedetes_capensis	SpELV.14-Pedetes_capensis	Pedetes capensis	SpELV	-	VMDO01006229.1	+
alignment/AL_SpELV/member/fasta-digs-erv/SpELV.15-Pedetes_capensis	SpELV.15-Pedetes_capensis	Pedetes capensis	SpELV	-	VMDO01001857.1	+
alignment/AL_SpELV/member/fasta-digs-erv/SpELV.16-Pedetes_capensis	SpELV.16-Pedetes_capensis	Pedetes capensis	SpELV	-	VMDO01001488.1	+
alignment/AL_SpELV/member/fasta-digs-erv/SpELV.17-Pedetes_capensis	SpELV.17-Pedetes_capensis	Pedetes capensis	SpELV	-	VMDO01000902.1	+
alignment/AL_SpELV/member/fasta-digs-erv/SpELV.18-Pedetes_capensis	SpELV.18-Pedetes_capensis	Pedetes capensis	SpELV	-	VMDO01003412.1	+
alignment/AL_SpELV/member/fasta-digs-erv/SpELV.2-Pedetes_capensis	SpELV.2-Pedetes_capensis	Pedetes capensis	SpELV	-	VMDO01050306.1	+
alignment/AL_SpELV/member/fasta-digs-erv/SpELV.21-Pedetes_capensis	SpELV.21-Pedetes_capensis	Pedetes capensis	SpELV	-	VMDO01035581.1	-
alignment/AL_SpELV/member/fasta-digs-erv/SpELV.24-Pedetes_capensis	SpELV.24-Pedetes_capensis	Pedetes capensis	SpELV	-	VMDO01046849.1	+
alignment/AL_SpELV/member/fasta-digs-erv/SpELV.25-Pedetes_capensis	SpELV.25-Pedetes_capensis	Pedetes capensis	SpELV	-	VMDO01015080.1	+
alignment/AL_SpELV/member/fasta-digs-erv/SpELV.28-Pedetes_capensis	SpELV.28-Pedetes_capensis	Pedetes capensis	SpELV	-	VMDO01001033.1	-
alignment/AL_SpELV/member/fasta-digs-erv/SpELV.32-Pedetes_capensis	SpELV.32-Pedetes_capensis	Pedetes capensis	SpELV	-	VMDO01012895.1	+
alignment/AL_SpELV/member/fasta-digs-erv/SpELV.34-Pedetes_capensis	SpELV.34-Pedetes_capensis	Pedetes capensis	SpELV	-	VMDO01003146.1	-
alignment/AL_SpELV/member/fasta-digs-erv/SpELV.35-Pedetes_capensis	SpELV.35-Pedetes_capensis	Pedetes capensis	SpELV	-	VMDO01018267.1	+
alignment/AL_SpELV/member/fasta-digs-erv/SpELV.6-Pedetes_capensis	SpELV.6-Pedetes_capensis	Pedetes capensis	SpELV	-	VMDO01001729.1	-
alignment/AL_SpELV/member/fasta-digs-erv/SpELV.9-Pedetes_capensis	SpELV.9-Pedetes_capensis	Pedetes capensis	SpELV	-	VMDO01033064.1	+
