taxon	sequenceID	host	name	subgenus	scaffold	orientation
alignment/AL_RELIK/member/ncbi-curated-erv/FJ493032	FJ493032	Lepus europaeus	RELIK	-	-	-
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.10-Oryctolagus_cuniculus	RELIK.10-Oryctolagus_cuniculus	Oryctolagus cuniculus	RELIK	-	chrX	-
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.101-Oryctolagus_cuniculus	RELIK.101-Oryctolagus_cuniculus	Oryctolagus cuniculus	RELIK	-	chrUn0218	+
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.102-Lepus_americanus	RELIK.102-Lepus_americanus	Lepus americanus	RELIK	-	PVJM010240434.1	-
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.103-Lepus_americanus	RELIK.103-Lepus_americanus	Lepus americanus	RELIK	-	PVJM010128007.1	-
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.106-Lepus_americanus	RELIK.106-Lepus_americanus	Lepus americanus	RELIK	-	PVJM010238219.1	-
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.107-Oryctolagus_cuniculus	RELIK.107-Oryctolagus_cuniculus	Oryctolagus cuniculus	RELIK	-	chrUn0172	+
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.108-Lepus_americanus	RELIK.108-Lepus_americanus	Lepus americanus	RELIK	-	PVJM010266879.1	+
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.109-Lepus_americanus	RELIK.109-Lepus_americanus	Lepus americanus	RELIK	-	PVJM010225818.1	+
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.11-Oryctolagus_cuniculus	RELIK.11-Oryctolagus_cuniculus	Oryctolagus cuniculus	RELIK	-	chr7	-
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.110-Lepus_americanus	RELIK.110-Lepus_americanus	Lepus americanus	RELIK	-	PVJM010301069.1	+
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.111-Lepus_americanus	RELIK.111-Lepus_americanus	Lepus americanus	RELIK	-	PVJM010185452.1	-
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.112-Lepus_americanus	RELIK.112-Lepus_americanus	Lepus americanus	RELIK	-	PVJM010343534.1	+
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.115-Lepus_americanus	RELIK.115-Lepus_americanus	Lepus americanus	RELIK	-	PVJM010315435.1	+
alignment/AL_RELIK/member/fasta-digs-erv/RELIK.116-Lepus_americanus	RELIK.116-Lepus_americanus	Lepus americanus	RELIK	-	PVJM010331894.1	-
