taxon	sequenceID	host	name	subgenus	scaffold	orientation
alignment/AL_DELV/member/fasta-digs-erv/DELV.1-Galeopterus_variegatus	DELV.1-Galeopterus_variegatus	Galeopterus variegatus	DELV	-	KL152857.1	+
alignment/AL_DELV/member/fasta-digs-erv/DELV.10-Galeopterus_variegatus	DELV.10-Galeopterus_variegatus	Galeopterus variegatus	DELV	-	KL143800.1	+
alignment/AL_DELV/member/fasta-digs-erv/DELV.100-Galeopterus_variegatus	DELV.100-Galeopterus_variegatus	Galeopterus variegatus	DELV	-	KL144619.1	-
alignment/AL_DELV/member/fasta-digs-erv/DELV.102-Galeopterus_variegatus	DELV.102-Galeopterus_variegatus	Galeopterus variegatus	DELV	-	KL143970.1	-
alignment/AL_DELV/member/fasta-digs-erv/DELV.103-Galeopterus_variegatus	DELV.103-Galeopterus_variegatus	Galeopterus variegatus	DELV	-	KL144502.1	+
alignment/AL_DELV/member/fasta-digs-erv/DELV.104-Galeopterus_variegatus	DELV.104-Galeopterus_variegatus	Galeopterus variegatus	DELV	-	JMZW01486527.1	+
alignment/AL_DELV/member/fasta-digs-erv/DELV.106-Galeopterus_variegatus	DELV.106-Galeopterus_variegatus	Galeopterus variegatus	DELV	-	KL152618.1	-
alignment/AL_DELV/member/fasta-digs-erv/DELV.107-Galeopterus_variegatus	DELV.107-Galeopterus_variegatus	Galeopterus variegatus	DELV	-	KL143370.1	-
alignment/AL_DELV/member/fasta-digs-erv/DELV.108-Galeopterus_variegatus	DELV.108-Galeopterus_variegatus	Galeopterus variegatus	DELV	-	JMZW01431583.1	-
alignment/AL_DELV/member/fasta-digs-erv/DELV.109-Galeopterus_variegatus	DELV.109-Galeopterus_variegatus	Galeopterus variegatus	DELV	-	KL143589.1	+
alignment/AL_DELV/member/fasta-digs-erv/DELV.110-Galeopterus_variegatus	DELV.110-Galeopterus_variegatus	Galeopterus variegatus	DELV	-	KL144351.1	-
alignment/AL_DELV/member/fasta-digs-erv/DELV.111-Galeopterus_variegatus	DELV.111-Galeopterus_variegatus	Galeopterus variegatus	DELV	-	KL158418.1	+
alignment/AL_DELV/member/fasta-digs-erv/DELV.112-Galeopterus_variegatus	DELV.112-Galeopterus_variegatus	Galeopterus variegatus	DELV	-	KL143849.1	-
alignment/AL_DELV/member/fasta-digs-erv/DELV.113-Galeopterus_variegatus	DELV.113-Galeopterus_variegatus	Galeopterus variegatus	DELV	-	KL143632.1	-
alignment/AL_DELV/member/fasta-digs-erv/DELV.114-Galeopterus_variegatus	DELV.114-Galeopterus_variegatus	Galeopterus variegatus	DELV	-	KL144865.1	-
alignment/AL_DELV/member/fasta-digs-erv/DELV.115-Galeopterus_variegatus	DELV.115-Galeopterus_variegatus	Galeopterus variegatus	DELV	-	KL145366.1	-
alignment/AL_DELV/member/fasta-digs-erv/DELV.116-Galeopterus_variegatus	DELV.116-Galeopterus_variegatus	Galeopterus variegatus	DELV	-	JMZW01501533.1	-
alignment/AL_DELV/member/fasta-digs-erv/DELV.117-Galeopterus_variegatus	DELV.117-Galeopterus_variegatus	Galeopterus variegatus	DELV	-	KL143609.1	-
