taxon	sequenceID	host	name	subgenus	scaffold	orientation
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24084	Lepus_americanus_24084	Lepus_americanus	Lepus_americanus_24084	-	PVJM010097211.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24104	Lepus_americanus_24104	Lepus_americanus	Lepus_americanus_24104	-	PVJM010226908.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24121	Lepus_americanus_24121	Lepus_americanus	Lepus_americanus_24121	-	PVJM010146895.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24127	Lepus_americanus_24127	Lepus_americanus	Lepus_americanus_24127	-	PVJM010343534.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24170	Lepus_americanus_24170	Lepus_americanus	Lepus_americanus_24170	-	PVJM010096262.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24214	Lepus_americanus_24214	Lepus_americanus	Lepus_americanus_24214	-	PVJM010009710.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24267	Lepus_americanus_24267	Lepus_americanus	Lepus_americanus_24267	-	PVJM010111286.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24271	Lepus_americanus_24271	Lepus_americanus	Lepus_americanus_24271	-	PVJM010057256.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24284	Lepus_americanus_24284	Lepus_americanus	Lepus_americanus_24284	-	PVJM010023064.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24320	Lepus_americanus_24320	Lepus_americanus	Lepus_americanus_24320	-	PVJM010103373.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24343	Lepus_americanus_24343	Lepus_americanus	Lepus_americanus_24343	-	PVJM010011928.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24371	Lepus_americanus_24371	Lepus_americanus	Lepus_americanus_24371	-	PVJM010003657.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24409	Lepus_americanus_24409	Lepus_americanus	Lepus_americanus_24409	-	PVJM010181729.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24477	Lepus_americanus_24477	Lepus_americanus	Lepus_americanus_24477	-	PVJM010004328.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24487	Lepus_americanus_24487	Lepus_americanus	Lepus_americanus_24487	-	PVJM010018742.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24497	Lepus_americanus_24497	Lepus_americanus	Lepus_americanus_24497	-	PVJM010121669.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24510	Lepus_americanus_24510	Lepus_americanus	Lepus_americanus_24510	-	PVJM010058017.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24520	Lepus_americanus_24520	Lepus_americanus	Lepus_americanus_24520	-	PVJM010240434.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24542	Lepus_americanus_24542	Lepus_americanus	Lepus_americanus_24542	-	PVJM010046403.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24580	Lepus_americanus_24580	Lepus_americanus	Lepus_americanus_24580	-	PVJM010063072.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24595	Lepus_americanus_24595	Lepus_americanus	Lepus_americanus_24595	-	PVJM010035557.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24607	Lepus_americanus_24607	Lepus_americanus	Lepus_americanus_24607	-	PVJM010104259.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24723	Lepus_americanus_24723	Lepus_americanus	Lepus_americanus_24723	-	PVJM010001062.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_americanus_24757	Lepus_americanus_24757	Lepus_americanus	Lepus_americanus_24757	-	PVJM010083368.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_timidus_24039	Lepus_timidus_24039	Lepus_timidus	Lepus_timidus_24039	-	VUAX01000538.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_timidus_24053	Lepus_timidus_24053	Lepus_timidus	Lepus_timidus_24053	-	CM019669.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_timidus_24067	Lepus_timidus_24067	Lepus_timidus	Lepus_timidus_24067	-	VUAX01000176.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_timidus_24141	Lepus_timidus_24141	Lepus_timidus	Lepus_timidus_24141	-	CM019673.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_timidus_24299	Lepus_timidus_24299	Lepus_timidus	Lepus_timidus_24299	-	CM019683.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_timidus_24312	Lepus_timidus_24312	Lepus_timidus	Lepus_timidus_24312	-	CM019680.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_timidus_24334	Lepus_timidus_24334	Lepus_timidus	Lepus_timidus_24334	-	CM019672.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_timidus_24471	Lepus_timidus_24471	Lepus_timidus	Lepus_timidus_24471	-	VUAX01000235.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_timidus_24562	Lepus_timidus_24562	Lepus_timidus	Lepus_timidus_24562	-	CM019682.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_timidus_24619	Lepus_timidus_24619	Lepus_timidus	Lepus_timidus_24619	-	VUAX01000176.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_timidus_24622	Lepus_timidus_24622	Lepus_timidus	Lepus_timidus_24622	-	VUAX01000098.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_timidus_24660	Lepus_timidus_24660	Lepus_timidus	Lepus_timidus_24660	-	CM019681.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_timidus_24754	Lepus_timidus_24754	Lepus_timidus	Lepus_timidus_24754	-	CM019681.1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_timidus_24772	Lepus_timidus_24772	Lepus_timidus	Lepus_timidus_24772	-	CM019676.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Lepus_timidus_24777	Lepus_timidus_24777	Lepus_timidus	Lepus_timidus_24777	-	VUAX01000113.1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24014	Oryctolagus_cuniculus_24014	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24014	-	chrUn0072	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24019	Oryctolagus_cuniculus_24019	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24019	-	chrUn0420	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24069	Oryctolagus_cuniculus_24069	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24069	-	chr18	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24079	Oryctolagus_cuniculus_24079	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24079	-	chrUn0227	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24116	Oryctolagus_cuniculus_24116	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24116	-	chr18	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24144	Oryctolagus_cuniculus_24144	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24144	-	chr5	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24151	Oryctolagus_cuniculus_24151	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24151	-	chrUn0002	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24171	Oryctolagus_cuniculus_24171	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24171	-	chr15	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24174	Oryctolagus_cuniculus_24174	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24174	-	chr12	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24184	Oryctolagus_cuniculus_24184	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24184	-	chr13	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24198	Oryctolagus_cuniculus_24198	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24198	-	chrUn0072	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24202	Oryctolagus_cuniculus_24202	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24202	-	chrUn0227	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24207	Oryctolagus_cuniculus_24207	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24207	-	chrUn0451	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24251	Oryctolagus_cuniculus_24251	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24251	-	chrUn0514	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24260	Oryctolagus_cuniculus_24260	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24260	-	chr4	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24292	Oryctolagus_cuniculus_24292	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24292	-	chrUn0420	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24295	Oryctolagus_cuniculus_24295	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24295	-	chrUn1041	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24300	Oryctolagus_cuniculus_24300	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24300	-	chrUn0091	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24313	Oryctolagus_cuniculus_24313	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24313	-	chrUn0119	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24353	Oryctolagus_cuniculus_24353	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24353	-	chr3	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24382	Oryctolagus_cuniculus_24382	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24382	-	chr1	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24391	Oryctolagus_cuniculus_24391	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24391	-	chrUn0187	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24406	Oryctolagus_cuniculus_24406	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24406	-	chr1	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24419	Oryctolagus_cuniculus_24419	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24419	-	chrUn0129	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24474	Oryctolagus_cuniculus_24474	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24474	-	chrUn0420	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24506	Oryctolagus_cuniculus_24506	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24506	-	chrX	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24544	Oryctolagus_cuniculus_24544	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24544	-	chrX	+
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24598	Oryctolagus_cuniculus_24598	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24598	-	chr12	-
alignment/AL_UNC_RELIK_Pol/member/fasta-digs-erv/Oryctolagus_cuniculus_24602	Oryctolagus_cuniculus_24602	Oryctolagus_cuniculus	Oryctolagus_cuniculus_24602	-	chrUn0113	-
