sequenceID	name	organism	locus_name	sequence_length
FJ493030	RELIK	Lepus europaeus	RELIK	397
FJ493031	RELIK	Lepus europaeus	RELIK	2881
FJ493032	RELIK	Lepus europaeus	RELIK	2019
FJ493033	RELIK	Lepus europaeus	RELIK	681
FJ493034	RELIK	Lepus europaeus	RELIK	787
FJ707322	PSIV2	Cheirogaleus medius	PSIV2	218
FJ707323	PSIV2	Cheirogaleus medius	PSIV2	218
FJ707324	PSIV2	Cheirogaleus medius	PSIV2	238
FJ707325	PSIV2	Cheirogaleus medius	PSIV2	241
FJ707326	PSIV1	Microcebus tavaratra	PSIV1	253
FJ707327	PSIV1	Microcebus tavaratra	PSIV1	253
FJ707328	PSIV1	Microcebus tavaratra	PSIV1	216
FJ707329	PSIV1	Microcebus myoxinus	PSIV1	252
FJ707330	PSIV1	Microcebus myoxinus	PSIV1	255
FJ707331	PSIV1	Microcebus myoxinus	PSIV1	256
FJ707332	PSIV1	Microcebus myoxinus	PSIV1	235
FJ707333	PSIV1	Microcebus griseorufus	PSIV1	253
FJ707334	PSIV1	Microcebus griseorufus	PSIV1	255
FJ707335	PSIV1	Microcebus griseorufus	PSIV1	253
FJ707336	PSIV1	Microcebus griseorufus	PSIV1	253
FJ707337	PSIV1	Microcebus ravelobensis	PSIV1	253
FJ707338	PSIV1	Microcebus ravelobensis	PSIV1	245
FJ707339	PSIV1	Microcebus ravelobensis	PSIV1	253
FJ707340	PSIV1	Microcebus sambiranensis	PSIV1	253
FJ707341	PSIV1	Microcebus sambiranensis	PSIV1	253
FJ707342	PSIV1	Microcebus sambiranensis	PSIV1	252
FJ707343	PSIV1	Microcebus sambiranensis	PSIV1	255
FJ707344	PSIV1	Microcebus sambiranensis	PSIV1	253
FJ707345	PSIV2	Cheirogaleus medius	PSIV2	1125
FJ707346	PSIV2	Cheirogaleus medius	PSIV2	1286
FJ707347	PSIV2	Cheirogaleus medius	PSIV2	1287
FJ707348	PSIV2	Cheirogaleus medius	PSIV2	1068
FJ707349	PSIV2	Cheirogaleus medius	PSIV2	1260
FJ707350	PSIV2	Cheirogaleus medius	PSIV2	1380
FJ707351	PSIV2	Cheirogaleus medius	PSIV2	706
FJ707352	PSIV2	Cheirogaleus medius	PSIV2	1437
FJ707353	PSIV2	Cheirogaleus medius	PSIV2	1437
FJ707354	PSIV2	Cheirogaleus medius	PSIV2	730
FJ707355	PSIV2	Cheirogaleus medius	PSIV2	729
FJ707356	PSIV2	Cheirogaleus medius	PSIV2	1024
FJ707357	PSIV2	Cheirogaleus medius	PSIV2	1024
FJ707358	PSIV1	Microcebus murinus	PSIV1	55
FJ707359	PSIV1	Microcebus murinus	PSIV1	2165
JQ700134	MELV	Mustela erminea	MELV	880
JQ700135	MELV	Mustela erminea	MELV	880
JQ700136	MELV	Mustela erminea	MELV	880
JQ700137	MELV	Mustela erminea	MELV	879
JQ700138	MELV	Mustela erminea	MELV	879
JQ700139	MELV	Mustela erminea	MELV	880
JQ700140	MELV	Mustela erminea	MELV	880
JQ700141	MELV	Mustela erminea	MELV	880
JQ700142	MELV	Mustela eversmannii	MELV	880
JQ700143	MELV	Mustela eversmannii	MELV	902
JQ700144	MELV	Mustela eversmannii	MELV	879
