sequenceID	taxonomy	locus_numeric_id	classifier	taxonomy.locus_numeric_id	organism	erv_structure	original	locus_structure	sequence_length	scaffold	orientation	extract_start	extract_end	assigned_name	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings
ERV-ELVgv.1-Galeopterus_variegatus-provirus	ELVgv	1	ERV	ELVgv.1	Galeopterus_variegatus	provirus	1	LTR[ELVgv(+)]-gag[MELVmpf(+)]-pol[MELVmpf(+)]-LTR[ELVgv(+)]	14992	KL152857.1	+	62265	77256	ELVgv	314	790	936	2369	489	609	66.667	0	1	4
ERV-ELVgv.2-Galeopterus_variegatus-provirus	ELVgv	2	ERV	ELVgv.2	Galeopterus_variegatus	provirus	2	LTR[ELVgv(+)]-gag[EIAV-As(+)]-pol[MELVmpf(+)]-pol[FIVpco(+)]-LTR[ELVgv(+)]	10814	KL143158.1	+	69692	80505	ELVgv	478	1131	2193	4142	663	940	74.51	0	1	4
ERV-ELVgv.3-Galeopterus_variegatus-provirus	ELVgv	3	ERV	ELVgv.3	Galeopterus_variegatus	provirus	3	LTR[ELVgv(+)]-gag[MELVmpf(+)]-pol[FIVfca(+)]-LTR[ELVgv(+)]	9300	KL148477.1	+	14164	23463	ELVgv	599	1377	1716	4013	780	1187	78.462	0	1	4
ERV-ELVgv.4-Galeopterus_variegatus-provirus	ELVgv	4	ERV	ELVgv.4	Galeopterus_variegatus	provirus	4	LTR[ELVgv(+)]-pol[FIVfca(+)]-LTR[ELVgv(+)]	8246	KL144797.1	+	30555	38800	ELVgv	313	1904	939	5714	1592	3240	100	0	1	0
ERV-ELVgv.5-Galeopterus_variegatus-provirus	ELVgv	5	ERV	ELVgv.5	Galeopterus_variegatus	provirus	5	LTR[ELVgv(+)]-gag[RELIK(+)]-pol[FIVpco(+)]	6399	KL153624.1	+	38495	44893	ELVgv	1072	1507	5092	6399	436	727	85.092	0	1	0
ERV-ELVgv.6-Galeopterus_variegatus-provirus	ELVgv	6	ERV	ELVgv.6	Galeopterus_variegatus	provirus	6	pol[FIVpco(-)]-pol[HIV-1-CRF02(-)]	5915	KL150894.1	-	28634	34548	ELVgv	1332	1661	4926	5915	330	504	76.667	3.21	148	0
ERV-ELVgv.7-Galeopterus_variegatus-provirus	ELVgv	7	ERV	ELVgv.7	Galeopterus_variegatus	provirus	7	LTR[ELVgv(-)]-LTR[ELVgv(-)]	3787	KL152334.1	-	71239	75025	ELVgv	2603	2746	1	432	144	219	74.306	4.8	60	0
ERV-ELVgv.8-Galeopterus_variegatus-provirus	ELVgv	8	ERV	ELVgv.8	Galeopterus_variegatus	provirus	8	pol[FIVfca(-)]	1928	KL144934.1	-	34738	36665	ELVgv	439	862	530	1789	429	483	64.103	1.15	153	5
ERV-ELVgv.9-Galeopterus_variegatus-provirus	ELVgv	9	ERV	ELVgv.9	Galeopterus_variegatus	provirus	9	LTR[ELVgv(-)]-LTR[ELVgv(-)]	1306	KL142874.1	-	314195	315500	ELVgv	2666	2746	1061	1303	81	115	74.074	2.73	41	0
ERV-ELVgv.10-Galeopterus_variegatus-provirus	ELVgv	10	ERV	ELVgv.10	Galeopterus_variegatus	provirus	10	LTR[ELVgv(+)]-LTR[ELVgv(+)]	987	KL143800.1	+	334829	335815	ELVgv	2603	2745	1	432	148	130	55.405	1	35	4
ERV-ELVgv.11-Galeopterus_variegatus-provirus	ELVgv	11	ERV	ELVgv.11	Galeopterus_variegatus	provirus	11	gag[MELVmpf(-)]	543	JMZW01485036.1	-	22	564	ELVgv	478	618	1	423	141	159	59.574	6.61	48	0
ERV-ELVgv.12-Galeopterus_variegatus-provirus	ELVgv	12	ERV	ELVgv.12	Galeopterus_variegatus	provirus	12	LTR[ELVgv(+)]-LTR[ELVgv(+)]	487	KL142985.1	+	252330	252816	ELVgv	2624	2714	60	332	91	127	73.626	4.67	41	0
ERV-ELVgv.13-Galeopterus_variegatus-LTR	ELVgv	13	ERV	ELVgv.13	Galeopterus_variegatus	solo LTR	13	LTR[ELVgv(-)]	440	KL148471.1	-	30580	31019	ELVgv	1	145	1	435	146	141	69.178	3.11	42	2
ERV-ELVgv.14-Galeopterus_variegatus-LTR	ELVgv	14	ERV	ELVgv.14	Galeopterus_variegatus	solo LTR	14	LTR[ELVgv(-)]	439	KL145141.1	-	114972	115410	ELVgv	1	116	1	345	118	82.4	47.458	1.02	33	3
ERV-ELVgv.15-Galeopterus_variegatus-LTR	ELVgv	15	ERV	ELVgv.15	Galeopterus_variegatus	solo LTR	15	LTR[ELVgv(+)]	439	KL145191.1	+	105088	105526	ELVgv	2603	2741	1	423	142	195	73.944	3.43	61	2
ERV-ELVgv.16-Galeopterus_variegatus-LTR	ELVgv	16	ERV	ELVgv.16	Galeopterus_variegatus	solo LTR	16	LTR[ELVgv(-)]	439	KL143816.1	-	400080	400518	ELVgv	1	104	1	312	105	97.4	55.238	4.63	37	2
ERV-ELVgv.17-Galeopterus_variegatus-LTR	ELVgv	17	ERV	ELVgv.17	Galeopterus_variegatus	solo LTR	17	LTR[ELVgv(-)]	438	KL145215.1	-	274074	274511	ELVgv	1	99	1	300	101	84.7	52.475	1.99	34	2
ERV-ELVgv.18-Galeopterus_variegatus-LTR	ELVgv	18	ERV	ELVgv.18	Galeopterus_variegatus	solo LTR	18	LTR[ELVgv(-)]	438	KL143290.1	-	102041	102478	ELVgv	2633	2745	92	436	115	99	51.304	2.27	27	1
ERV-ELVgv.19-Galeopterus_variegatus-LTR	ELVgv	19	ERV	ELVgv.19	Galeopterus_variegatus	solo LTR	19	LTR[ELVgv(-)]	438	KL146522.1	-	1909	2346	ELVgv	2624	2747	66	437	124	198	79.032	3.25	62	0
ERV-ELVgv.20-Galeopterus_variegatus-LTR	ELVgv	20	ERV	ELVgv.20	Galeopterus_variegatus	solo LTR	20	LTR[ELVgv(+)]	437	KL145064.1	+	198092	198528	ELVgv	2603	2701	1	297	99	158	78.788	3.11	56	0
ERV-ELVgv.21-Galeopterus_variegatus-LTR	ELVgv	21	ERV	ELVgv.21	Galeopterus_variegatus	solo LTR	21	LTR[ELVgv(-)]	437	KL143987.1	-	318221	318657	ELVgv	2624	2744	66	428	121	170	72.727	2.23	52	0
ERV-ELVgv.22-Galeopterus_variegatus-LTR	ELVgv	22	ERV	ELVgv.22	Galeopterus_variegatus	solo LTR	22	LTR[ELVgv(+)]	437	KL144191.1	+	718506	718942	ELVgv	2624	2745	66	431	122	182	74.59	1.29	56	0
ERV-ELVgv.23-Galeopterus_variegatus-LTR	ELVgv	23	ERV	ELVgv.23	Galeopterus_variegatus	solo LTR	23	LTR[ELVgv(-)]	437	KL146651.1	-	51952	52388	ELVgv	2624	2744	66	428	121	181	74.38	1.28	56	0
ERV-ELVgv.24-Galeopterus_variegatus-LTR	ELVgv	24	ERV	ELVgv.24	Galeopterus_variegatus	solo LTR	24	LTR[ELVgv(+)]	437	KL151687.1	+	81144	81580	ELVgv	2624	2746	66	434	123	191	76.423	3.59	61	0
ERV-ELVgv.25-Galeopterus_variegatus-LTR	ELVgv	25	ERV	ELVgv.25	Galeopterus_variegatus	solo LTR	25	LTR[ELVgv(-)]	437	KL145163.1	-	138850	139286	ELVgv	2624	2745	66	431	122	183	75.41	1.8	58	0
ERV-ELVgv.26-Galeopterus_variegatus-LTR	ELVgv	26	ERV	ELVgv.26	Galeopterus_variegatus	solo LTR	26	LTR[ELVgv(-)]	437	KL147321.1	-	83380	83816	ELVgv	2657	2746	164	433	90	112	63.333	6.98	36	0
ERV-ELVgv.27-Galeopterus_variegatus-LTR	ELVgv	27	ERV	ELVgv.27	Galeopterus_variegatus	solo LTR	27	LTR[ELVgv(-)]	437	KL143813.1	-	386439	386875	ELVgv	2624	2744	66	428	121	171	72.727	9.15	53	0
ERV-ELVgv.28-Galeopterus_variegatus-LTR	ELVgv	28	ERV	ELVgv.28	Galeopterus_variegatus	solo LTR	28	LTR[ELVgv(-)]	437	KL145629.1	-	57105	57541	ELVgv	2624	2746	66	434	123	186	73.984	2.02	59	0
ERV-ELVgv.29-Galeopterus_variegatus-LTR	ELVgv	29	ERV	ELVgv.29	Galeopterus_variegatus	solo LTR	29	LTR[ELVgv(+)]	437	KL151439.1	+	78380	78816	ELVgv	2657	2746	164	433	90	107	63.333	2.48	34	0
ERV-ELVgv.30-Galeopterus_variegatus-LTR	ELVgv	30	ERV	ELVgv.30	Galeopterus_variegatus	solo LTR	30	LTR[ELVgv(+)]	436	KL149543.1	+	112467	112902	ELVgv	2658	2746	167	433	89	141	77.528	7.22	57	0
ERV-ELVgv.31-Galeopterus_variegatus-LTR	ELVgv	31	ERV	ELVgv.31	Galeopterus_variegatus	solo LTR	31	LTR[ELVgv(+)]	436	KL154608.1	+	22110	22545	ELVgv	2	91	4	270	90	92	58.889	2.23	36	1
ERV-ELVgv.32-Galeopterus_variegatus-LTR	ELVgv	32	ERV	ELVgv.32	Galeopterus_variegatus	solo LTR	32	LTR[ELVgv(-)]	436	KL146066.1	-	48674	49109	ELVgv	2603	2671	1	207	69	117	78.261	4.7	58	0
ERV-ELVgv.33-Galeopterus_variegatus-LTR	ELVgv	33	ERV	ELVgv.33	Galeopterus_variegatus	solo LTR	33	LTR[ELVgv(-)]	436	KL148551.1	-	105710	106145	ELVgv	2674	2746	215	433	73	119	80.822	6.44	58	0
ERV-ELVgv.34-Galeopterus_variegatus-LTR	ELVgv	34	ERV	ELVgv.34	Galeopterus_variegatus	solo LTR	34	LTR[ELVgv(-)]	436	KL149485.1	-	41268	41703	ELVgv	2624	2746	65	433	123	168	73.171	1.35	51	0
ERV-ELVgv.35-Galeopterus_variegatus-LTR	ELVgv	35	ERV	ELVgv.35	Galeopterus_variegatus	solo LTR	35	LTR[ELVgv(+)]	436	KL142873.1	+	467305	467740	ELVgv	2684	2746	245	433	63	105	79.365	6.82	54	0
ERV-ELVgv.36-Galeopterus_variegatus-LTR	ELVgv	36	ERV	ELVgv.36	Galeopterus_variegatus	solo LTR	36	LTR[ELVgv(-)]	436	KL145214.1	-	45047	45482	ELVgv	2639	2746	110	433	108	159	71.296	3.83	51	0
ERV-ELVgv.37-Galeopterus_variegatus-LTR	ELVgv	37	ERV	ELVgv.37	Galeopterus_variegatus	solo LTR	37	LTR[ELVgv(+)]	435	KL151254.1	+	79980	80414	ELVgv	2603	2746	1	432	144	234	79.167	6.24	75	0
ERV-ELVgv.38-Galeopterus_variegatus-LTR	ELVgv	38	ERV	ELVgv.38	Galeopterus_variegatus	solo LTR	38	LTR[ELVgv(-)]	435	KL145627.1	-	31755	32189	ELVgv	2603	2746	1	432	144	219	76.389	1.12	69	0
ERV-ELVgv.39-Galeopterus_variegatus-LTR	ELVgv	39	ERV	ELVgv.39	Galeopterus_variegatus	solo LTR	39	LTR[ELVgv(+)]	435	KL145287.1	+	207689	208123	ELVgv	2603	2746	1	432	144	214	74.306	1.05	67	0
ERV-ELVgv.40-Galeopterus_variegatus-LTR	ELVgv	40	ERV	ELVgv.40	Galeopterus_variegatus	solo LTR	40	LTR[ELVgv(-)]	435	KL144365.1	-	192617	193051	ELVgv	2603	2746	1	432	144	227	77.778	2.84	72	0
ERV-ELVgv.41-Galeopterus_variegatus-LTR	ELVgv	41	ERV	ELVgv.41	Galeopterus_variegatus	solo LTR	41	LTR[ELVgv(-)]	435	KL143274.1	-	601396	601830	ELVgv	2603	2746	1	432	144	207	73.611	1.54	65	0
