sequenceID	record_id	organism	target_datatype	target_version	target_name	scaffold	orientation	assigned_name	extract_start	extract_end	locus_structure	sequence_length
Crocidura_indochinensis_24310	24310	Crocidura_indochinensis	low_coverage	CroInd_v1_BIUU	GCA_004027635.1_CroInd_v1_BIUU_genomic.fna	PVKC010373061.1	-	0	997	1515	gag[RELIK(-)]	519
Crocidura_indochinensis_24273	24273	Crocidura_indochinensis	low_coverage	CroInd_v1_BIUU	GCA_004027635.1_CroInd_v1_BIUU_genomic.fna	PVKC010494106.1	-	0	567	1106	gag[SIVsmm(-)]	540
Crocidura_indochinensis_24558	24558	Crocidura_indochinensis	low_coverage	CroInd_v1_BIUU	GCA_004027635.1_CroInd_v1_BIUU_genomic.fna	PVKC010677653.1	-	0	162	704	gag[MELVmpf(-)]	543
Crocidura_indochinensis_24545	24545	Crocidura_indochinensis	low_coverage	CroInd_v1_BIUU	GCA_004027635.1_CroInd_v1_BIUU_genomic.fna	PVKC010142434.1	-	0	2937	3485	gag[MELVmpf(-)]	549
Crocidura_indochinensis_24532	24532	Crocidura_indochinensis	low_coverage	CroInd_v1_BIUU	GCA_004027635.1_CroInd_v1_BIUU_genomic.fna	PVKC010247235.1	+	0	1673	2272	gag[RELIK(+)]	600
Crocidura_indochinensis_24651	24651	Crocidura_indochinensis	low_coverage	CroInd_v1_BIUU	GCA_004027635.1_CroInd_v1_BIUU_genomic.fna	PVKC010304285.1	+	0	670	1272	gag[RELIK(+)]	603
Galeopterus_variegatus_24435	24435	Galeopterus_variegatus	low_coverage	G-variegatus_3.0.2_apr_2015	unplaced.scaf.fa	JMZW01485036.1	-	0	22	564	gag[MELVmpf(-)]	543
Galeopterus_variegatus_24150	24150	Galeopterus_variegatus	low_coverage	G-variegatus_3.0.2_apr_2015	unplaced.scaf.fa	KL144934.1	-	0	34738	36665	pol[FIVfca(-)]	1928
Galeopterus_variegatus_24596	24596	Galeopterus_variegatus	low_coverage	G-variegatus_3.0.2_apr_2015	unplaced.scaf.fa	KL152857.1	+	0	63515	65489	gag[MELVmpf(+)]-pol[MELVmpf(+)]	1975
Galeopterus_variegatus_24080	24080	Galeopterus_variegatus	low_coverage	G-variegatus_3.0.2_apr_2015	unplaced.scaf.fa	KL148477.1	+	0	15306	18176	gag[MELVmpf(+)]-pol[FIVfca(+)]	2871
