taxon	sequenceID	pubmed_id	name	isolate	country	collection_year
alignment/AL_ROOT/member/ncbi-refseqs/AF016316	AF016316	9445039	EIAV	-	-	-
alignment/AL_ROOT/member/ncbi-refseqs/AF033819	AF033819	-	HIV-1M	-	-	-
alignment/AL_ROOT/member/fasta-refseqs-erv/DELV-con	DELV-con	-	DELV	-	-	-
alignment/AL_ROOT/member/ncbi-refseqs/M25381	M25381	2928341	FIV	-	-	-
alignment/AL_ROOT/member/ncbi-refseqs/M32690	M32690	2183467	BIV	-	-	-
alignment/AL_ROOT/member/fasta-refseqs-erv/MELV-con	MELV-con	-	MELVmpf	-	-	-
alignment/AL_ROOT/member/ncbi-refseqs/NC_001452	NC_001452	2824836	SRLV-A	-	-	-
alignment/AL_ROOT/member/fasta-refseqs-erv/PSIV1-con	PSIV1-con	-	PSIV1	-	-	-
alignment/AL_ROOT/member/fasta-refseqs-erv/PSIV2-con	PSIV2-con	-	PSIV2	-	-	-
alignment/AL_ROOT/member/fasta-refseqs-erv/RELIK-con	RELIK-con	-	RELIK	-	-	-
