Accession,Species-group,Species,Group,Subtype,Isolate,Year,Country,Host_common_name,Host,pubmedID
AF033819,PLV,HIV-1,M,B,HXB2,1983,France,human,Homo sapiens,
NC_001802,PLV,HIV-1,M,B,HXB2,1983,France,human,Homo sapiens,9362478
AF484509,PLV,HIV-1,M,A,98UG57136,1998,Uganda,human,Homo sapiens,12487816
U46016,PLV,HIV-1,M,C,ETH2220,1986,Ethiopia,human,Homo sapiens,8891112
DQ017382,PLV,HIV-1,N,,04CM_1015_04,2004,Cameroon,human,Homo sapiens,
L20571,PLV,HIV-1,O,,MVP5180,1991,Cameroon,human,Homo sapiens,
HQ179987,PLV,HIV-1,P,,U14788,2006,Cameroon,human,Homo sapiens,
M30502,PLV,HIV-2,A,,BEN,-,Germany,human,Homo sapiens,
X61240,PLV,HIV-2,B,,D205_ALT,1986,Ghana,human,Homo sapiens,
KP861923,PLV,SIVcpz,,cpz,LB715,2005,Cameroon,chimpazee,Pan troglodytes,
AF301156,PLV,SIVagm,,agm,VSAM0022,2010,Zambia,vervet monkey,Chlorocebus pygerythrus,
AY169968,PLV,SIVden,,den,SIVden,,,Dent's Mona monkey,Cercopithecus denti,
AJ580407,PLV,SIVden,,den,SIVden,,,Dent's Mona monkey,Cercopithecus denti,
AY159321,PLV,SIVdrl1,,drl1,SIVdrl1,,,drill monkey,Mandrillus leucophaeus,
FJ424871,PLV,SIVgor,,gor,SIVgorCP684con,2004,Cameroon,gorilla,Gorilla gorilla,
AF468659,PLV,SIVgsn,,gsn,CN166,1999,Cameroon,greater spot-nosed monkeys,Cercopithecus nictitans,
AF075269,PLV,SIVlhoest,,lhoest,lho7,-,Kenya,L'Hoest monkeys,Cercopithecus lhoesti,
M33262,PLV,SIVmnd,,mnd,M14,-,Gabon,mandrill,Mandrillus sphinx,
AF328295,PLV,SIVmnd,,mnd,M14,-,Gabon,mandrill,Mandrillus sphinx,
KF304707,PLV,SIVmus,,mus,09GabOI81,2009,Gabon,mustache monkey,Saguinus imperator,
FM165200,PLV,SIVocm,,ocm,97CI12,1997,Cote D'Ivoire,olive colobus,Procolobus verus,
AF382829,PLV,SIVrcm,,rcm,SIVRCMGAB1,-,Gabon,red-capped mangabey,Cercocebus torquatus,
KJ461716,PLV,SIVrtg,,rtg,RT03,2010,Uganda,red-tailed guenon,Cercopithecus ascanius,
U04005,PLV,SIVsab,,sab,SAB1,-,Senegal,sabaeus monkey,Chlorocebus sabaeus,
JX860430,PLV,SIVsmm,,smm,SIVsmSL92A,1992,Sierra Leone,sooty mangabey,Cercocebus atys,
AF131870,PLV,SIVsun,,sun,L14,1998,Gabon,sun-tailed monkey,Cercopithecus solatus,
AY523867,PLV,SIVsun,,sun,L14,1998,Gabon,sun-tailed monkey,Cercopithecus solatus,
AY655744,PLV,SIVtal,,tal,266,2000,Cameroon,northern talapoin,Miopithecus ogouensis,
AM713177,PLV,SIVwrc,,wrc,98CI04,1998,Cote D'Ivoire,western red colobus,Piliocolobus badius,
