taxon	sequenceID	host	name	subgenus	scaffold	orientation
alignment/AL_UNC_RELIK_Env/member/fasta-digs-erv/Lepus_americanus_24023	Lepus_americanus_24023	Lepus_americanus	Lepus_americanus_24023	-	PVJM010050045.1	-
alignment/AL_UNC_RELIK_Env/member/fasta-digs-erv/Lepus_americanus_24056	Lepus_americanus_24056	Lepus_americanus	Lepus_americanus_24056	-	PVJM010018723.1	+
alignment/AL_UNC_RELIK_Env/member/fasta-digs-erv/Lepus_americanus_24114	Lepus_americanus_24114	Lepus_americanus	Lepus_americanus_24114	-	PVJM010070084.1	+
alignment/AL_UNC_RELIK_Env/member/fasta-digs-erv/Lepus_americanus_24176	Lepus_americanus_24176	Lepus_americanus	Lepus_americanus_24176	-	PVJM010008346.1	-
alignment/AL_UNC_RELIK_Env/member/fasta-digs-erv/Lepus_americanus_24271	Lepus_americanus_24271	Lepus_americanus	Lepus_americanus_24271	-	PVJM010057256.1	+
alignment/AL_UNC_RELIK_Env/member/fasta-digs-erv/Lepus_americanus_24279	Lepus_americanus_24279	Lepus_americanus	Lepus_americanus_24279	-	PVJM010037697.1	-
alignment/AL_UNC_RELIK_Env/member/fasta-digs-erv/Lepus_americanus_24284	Lepus_americanus_24284	Lepus_americanus	Lepus_americanus_24284	-	PVJM010023064.1	+
alignment/AL_UNC_RELIK_Env/member/fasta-digs-erv/Lepus_americanus_24371	Lepus_americanus_24371	Lepus_americanus	Lepus_americanus_24371	-	PVJM010003657.1	-
alignment/AL_UNC_RELIK_Env/member/fasta-digs-erv/Lepus_americanus_24379	Lepus_americanus_24379	Lepus_americanus	Lepus_americanus_24379	-	PVJM010020356.1	+
alignment/AL_UNC_RELIK_Env/member/fasta-digs-erv/Lepus_americanus_24409	Lepus_americanus_24409	Lepus_americanus	Lepus_americanus_24409	-	PVJM010181729.1	-
alignment/AL_UNC_RELIK_Env/member/fasta-digs-erv/Lepus_americanus_24415	Lepus_americanus_24415	Lepus_americanus	Lepus_americanus_24415	-	PVJM010026092.1	+
alignment/AL_UNC_RELIK_Env/member/fasta-digs-erv/Lepus_americanus_24467	Lepus_americanus_24467	Lepus_americanus	Lepus_americanus_24467	-	PVJM010020979.1	-
