taxon	sequenceID	pubmed_id	name	isolate	country	collection_year
alignment/AL_SRLV/member/ncbi-curated-srlv/AF015181	AF015181	9356342	Caprine arthritis encephalitis virus	CA680	France	1994
alignment/AL_SRLV/member/ncbi-curated-srlv/AF402664	AF402664	-	Caprine arthritis encephalitis virus	BR-MG A5b	Brazil	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AF402665	AF402665	-	Caprine arthritis encephalitis virus	BR-MG A7a	Brazil	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AJ305039	AJ305039	11551652	Visna-maedi virus	MVV Br/UFRGS-2/V27	Brazil	1997
alignment/AL_SRLV/member/ncbi-curated-srlv/AJ305040	AJ305040	11551652	Caprine arthritis encephalitis virus	CAEV Br/UFRGS-4/C18	Brazil	1991
alignment/AL_SRLV/member/ncbi-curated-srlv/AJ305041	AJ305041	11551652	Caprine arthritis encephalitis virus	CAEV Br/UFRGS-5/C47	Brazil	1991
alignment/AL_SRLV/member/ncbi-curated-srlv/AJ305042	AJ305042	11551652	Caprine arthritis encephalitis virus	CAEV Br/UFRGS-2/C767	Brazil	1989
alignment/AL_SRLV/member/ncbi-curated-srlv/AM084203	AM084203	17349752	Small ruminant lentivirus	B_S23	Finland	1994
alignment/AL_SRLV/member/ncbi-curated-srlv/AM084204	AM084204	17349752	Small ruminant lentivirus	B_S604	Finland	1994
alignment/AL_SRLV/member/ncbi-curated-srlv/AM084205	AM084205	17349752	Small ruminant lentivirus	C6_S1	Finland	1994
alignment/AL_SRLV/member/ncbi-curated-srlv/AM084206	AM084206	17349752	Small ruminant lentivirus	D4_S1	Finland	1995
alignment/AL_SRLV/member/ncbi-curated-srlv/AM084207	AM084207	17349752	Small ruminant lentivirus	D5_S4	Finland	1996
alignment/AL_SRLV/member/ncbi-curated-srlv/AM084208	AM084208	17349752	Small ruminant lentivirus	E_S1	Finland	1995
alignment/AL_SRLV/member/ncbi-curated-srlv/AM084209	AM084209	17349752	Small ruminant lentivirus	Lotta	Finland	2001
alignment/AL_SRLV/member/ncbi-curated-srlv/AM419950	AM419950	17349752	Small ruminant lentivirus	-	-	-
alignment/AL_SRLV/member/ncbi-curated-srlv/AY044803	AY044803	12093681	Ovine lentivirus	It128	Italy	2001
alignment/AL_SRLV/member/ncbi-curated-srlv/AY044804	AY044804	12093681	Ovine lentivirus	It-1Pi	Italy	2001
alignment/AL_SRLV/member/ncbi-curated-srlv/AY044805	AY044805	12093681	Ovine lentivirus	It172	Italy	2001
alignment/AL_SRLV/member/ncbi-curated-srlv/AY044806	AY044806	12093681	Ovine lentivirus	It2038	Italy	2001
alignment/AL_SRLV/member/ncbi-curated-srlv/AY044807	AY044807	12093681	Ovine lentivirus	It169	Italy	2001
alignment/AL_SRLV/member/ncbi-curated-srlv/AY044808	AY044808	12093681	Ovine lentivirus	It170	Italy	2001
alignment/AL_SRLV/member/ncbi-curated-srlv/AY044809	AY044809	12093681	Ovine lentivirus	It285	Italy	2001
alignment/AL_SRLV/member/ncbi-curated-srlv/AY044810	AY044810	12093681	Ovine lentivirus	It585	Italy	2001
alignment/AL_SRLV/member/ncbi-curated-srlv/AY081139	AY081139	-	Caprine arthritis encephalitis virus	BR-UFMG/PL1	Brazil	-
alignment/AL_SRLV/member/ncbi-curated-srlv/AY101347	AY101347	-	Caprine arthritis encephalitis virus	BR-UFMG/PL2	Brazil	-
alignment/AL_SRLV/member/ncbi-curated-srlv/AY101348	AY101348	-	Caprine arthritis encephalitis virus	BR-UFMG/PL3	Brazil	-
alignment/AL_SRLV/member/ncbi-curated-srlv/AY265455	AY265455	15778023	Ovine lentivirus	It-561	Italy	1991
alignment/AL_SRLV/member/ncbi-curated-srlv/AY265456	AY265456	15778023	Ovine lentivirus	It-Pi1	Italy	1991
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454161	AY454161	14967484	Small ruminant lentivirus	SNCR4668	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454162	AY454162	14967484	Small ruminant lentivirus	SNCR4861	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454163	AY454163	14967484	Small ruminant lentivirus	SNCR4863	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454164	AY454164	14967484	Small ruminant lentivirus	SNCR5056	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454165	AY454165	14967484	Small ruminant lentivirus	SNCR5057	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454166	AY454166	14967484	Small ruminant lentivirus	SNCR5058	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454167	AY454167	14967484	Small ruminant lentivirus	SNCR5059	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454168	AY454168	14967484	Small ruminant lentivirus	SNCR5466	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454169	AY454169	14967484	Small ruminant lentivirus	SNCR5472	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454170	AY454170	14967484	Small ruminant lentivirus	SNCR5473	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454171	AY454171	14967484	Small ruminant lentivirus	SNCR5484	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454172	AY454172	14967484	Small ruminant lentivirus	SNCR5518	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454173	AY454173	14967484	Small ruminant lentivirus	SNCR5525	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454174	AY454174	14967484	Small ruminant lentivirus	SNCR5526	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454176	AY454176	14967484	Small ruminant lentivirus	SNCR5561	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454177	AY454177	14967484	Small ruminant lentivirus	SNCR5563	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454178	AY454178	14967484	Small ruminant lentivirus	SNCR5564	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454179	AY454179	14967484	Small ruminant lentivirus	SNCR5568	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454180	AY454180	14967484	Small ruminant lentivirus	SNCR5570	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454181	AY454181	14967484	Small ruminant lentivirus	SNCR5571	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454182	AY454182	14967484	Small ruminant lentivirus	SNCR5572	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454183	AY454183	14967484	Small ruminant lentivirus	SNCR5574	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454184	AY454184	14967484	Small ruminant lentivirus	SNCR5576	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454185	AY454185	14967484	Small ruminant lentivirus	SNCR5578	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454186	AY454186	14967484	Small ruminant lentivirus	SNCR5586	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454187	AY454187	14967484	Small ruminant lentivirus	SNCR5591	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454188	AY454188	14967484	Small ruminant lentivirus	SNCR5592	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454190	AY454190	14967484	Small ruminant lentivirus	SNCR5598	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454191	AY454191	14967484	Small ruminant lentivirus	SNCR5637	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454192	AY454192	14967484	Small ruminant lentivirus	SNCR5638	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454193	AY454193	14967484	Small ruminant lentivirus	SNCR5639	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454194	AY454194	14967484	Small ruminant lentivirus	SNCR5645	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454195	AY454195	14967484	Small ruminant lentivirus	SNCR5651	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454196	AY454196	14967484	Small ruminant lentivirus	SNCR5660	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454197	AY454197	14967484	Small ruminant lentivirus	SNCR5661	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454198	AY454198	14967484	Small ruminant lentivirus	SNCR5663	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454199	AY454199	14967484	Small ruminant lentivirus	SNCR5666	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454200	AY454200	14967484	Small ruminant lentivirus	SNCR5667	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454201	AY454201	14967484	Small ruminant lentivirus	SNCR5669	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454202	AY454202	14967484	Small ruminant lentivirus	SNCR5673	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454203	AY454203	14967484	Small ruminant lentivirus	SNCR5674	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454204	AY454204	14967484	Small ruminant lentivirus	SNCR5678	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454205	AY454205	14967484	Small ruminant lentivirus	SNCR5679	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454206	AY454206	14967484	Small ruminant lentivirus	SNCR5686	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454207	AY454207	14967484	Small ruminant lentivirus	SNCR5690	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454209	AY454209	14967484	Small ruminant lentivirus	SNCR5697	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454210	AY454210	14967484	Small ruminant lentivirus	SNCR5698	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454211	AY454211	14967484	Small ruminant lentivirus	SNCR5699	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454212	AY454212	14967484	Small ruminant lentivirus	SNCR5700	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454213	AY454213	14967484	Small ruminant lentivirus	SNCR5701	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454214	AY454214	14967484	Small ruminant lentivirus	SNCR5703	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454215	AY454215	14967484	Small ruminant lentivirus	SNCR5705	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454216	AY454216	14967484	Small ruminant lentivirus	SNCR5709	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454217	AY454217	14967484	Small ruminant lentivirus	SNCR5717	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454218	AY454218	14967484	Small ruminant lentivirus	SNCR5720	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454219	AY454219	14967484	Small ruminant lentivirus	SNCR5721	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454220	AY454220	14967484	Small ruminant lentivirus	SNCR5723	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454221	AY454221	14967484	Small ruminant lentivirus	SNCR5731	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454222	AY454222	14967484	Small ruminant lentivirus	SNCR5745	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454223	AY454223	14967484	Small ruminant lentivirus	SNCR5775	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454224	AY454224	14967484	Small ruminant lentivirus	SNCR5776	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454225	AY454225	14967484	Small ruminant lentivirus	SNCR5813	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454226	AY454226	14967484	Small ruminant lentivirus	SNCR5814	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454227	AY454227	14967484	Small ruminant lentivirus	SNCR5842	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454228	AY454228	14967484	Small ruminant lentivirus	SNCR5843	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454229	AY454229	14967484	Small ruminant lentivirus	SNCR5844	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454230	AY454230	14967484	Small ruminant lentivirus	SNCR5845	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454231	AY454231	14967484	Small ruminant lentivirus	SNCR6247	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454232	AY454232	14967484	Small ruminant lentivirus	SNCR6249	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY530289	AY530289	15964721	Visna-maedi virus	SRLV-Greece-S1	Greek	2002
alignment/AL_SRLV/member/ncbi-curated-srlv/AY530290	AY530290	15964721	Visna-maedi virus	SRLV-Greece-S2	Greek	2002
alignment/AL_SRLV/member/ncbi-curated-srlv/AY530291	AY530291	15964721	Visna-maedi virus	SRLV-Greece-S3	Greek	2002
alignment/AL_SRLV/member/ncbi-curated-srlv/AY530292	AY530292	15964721	Visna-maedi virus	SRLV-Greece-S4	Greek	2002
alignment/AL_SRLV/member/ncbi-curated-srlv/AY530293	AY530293	15964721	Visna-maedi virus	SRLV-Greece--G1	Greek	2002
alignment/AL_SRLV/member/ncbi-curated-srlv/AY577031	AY577031	15220425	Small ruminant lentivirus	SNCR7592	Switzerland	2003
alignment/AL_SRLV/member/ncbi-curated-srlv/AY577032	AY577032	15220425	Small ruminant lentivirus	SNCR7730	Switzerland	2003
alignment/AL_SRLV/member/ncbi-curated-srlv/AY577033	AY577033	15220425	Small ruminant lentivirus	SNCR7731	Switzerland	2003
alignment/AL_SRLV/member/ncbi-curated-srlv/DQ084332	DQ084332	16870297	Ovine lentivirus	Ov5	Spain	2005
alignment/AL_SRLV/member/ncbi-curated-srlv/DQ084333	DQ084333	16870297	Ovine lentivirus	Ov1	Spain	2005
alignment/AL_SRLV/member/ncbi-curated-srlv/DQ084334	DQ084334	16870297	Ovine lentivirus	Ov4	Spain	2005
alignment/AL_SRLV/member/ncbi-curated-srlv/DQ084335	DQ084335	16870297	Ovine lentivirus	Ov8	Spain	2005
alignment/AL_SRLV/member/ncbi-curated-srlv/DQ084336	DQ084336	16870297	Ovine lentivirus	Ov7	Spain	2005
alignment/AL_SRLV/member/ncbi-curated-srlv/DQ084337	DQ084337	16870297	Ovine lentivirus	Ov3	Spain	2005
alignment/AL_SRLV/member/ncbi-curated-srlv/DQ084338	DQ084338	16870297	Ovine lentivirus	Ov6	Spain	2005
alignment/AL_SRLV/member/ncbi-curated-srlv/DQ084339	DQ084339	16870297	Ovine lentivirus	Ov2	Spain	2005
alignment/AL_SRLV/member/ncbi-curated-srlv/DQ084340	DQ084340	16870297	Caprine lentivirus	C1	Spain	2005
alignment/AL_SRLV/member/ncbi-curated-srlv/DQ084341	DQ084341	16870297	Caprine lentivirus	C5	Spain	2005
alignment/AL_SRLV/member/ncbi-curated-srlv/DQ084342	DQ084342	16870297	Caprine lentivirus	C4	Spain	2005
alignment/AL_SRLV/member/ncbi-curated-srlv/DQ084343	DQ084343	16870297	Caprine lentivirus	C3	Spain	2005
alignment/AL_SRLV/member/ncbi-curated-srlv/DQ084344	DQ084344	16870297	Caprine lentivirus	C2	Spain	2005
alignment/AL_SRLV/member/ncbi-curated-srlv/DQ844911	DQ844911	17240470	Small ruminant lentivirus	G623AW	Norway	2002
alignment/AL_SRLV/member/ncbi-curated-srlv/DQ844918	DQ844918	17240470	Small ruminant lentivirus	S9033AW	Norway	2001
alignment/AL_SRLV/member/ncbi-curated-srlv/DQ844919	DQ844919	17240470	Small ruminant lentivirus	S42AW	Norway	2002
alignment/AL_SRLV/member/ncbi-curated-srlv/EF675997	EF675997	18024912	Small ruminant lentivirus	-	-	-
alignment/AL_SRLV/member/ncbi-curated-srlv/EF676000	EF676000	18024912	Small ruminant lentivirus	It-014s03	Italy	2006
alignment/AL_SRLV/member/ncbi-curated-srlv/EF676002	EF676002	18024912	Small ruminant lentivirus	It-018g04	Italy	2006
alignment/AL_SRLV/member/ncbi-curated-srlv/EF676003	EF676003	18024912	Small ruminant lentivirus	It-026g02	Italy	2006
alignment/AL_SRLV/member/ncbi-curated-srlv/EF676004	EF676004	18024912	Small ruminant lentivirus	It-027g02	Italy	2006
alignment/AL_SRLV/member/ncbi-curated-srlv/EF676005	EF676005	18024912	Small ruminant lentivirus	It-029g02	Italy	2006
alignment/AL_SRLV/member/ncbi-curated-srlv/EF676006	EF676006	18024912	Small ruminant lentivirus	It-030g03	Italy	2006
alignment/AL_SRLV/member/ncbi-curated-srlv/EF676007	EF676007	18024912	Small ruminant lentivirus	It-035s05	Italy	2006
alignment/AL_SRLV/member/ncbi-curated-srlv/EF676008	EF676008	18024912	Small ruminant lentivirus	It-036g05	Italy	2006
alignment/AL_SRLV/member/ncbi-curated-srlv/EF676009	EF676009	18024912	Small ruminant lentivirus	It-037s05	Italy	2006
alignment/AL_SRLV/member/ncbi-curated-srlv/EF676010	EF676010	18024912	Small ruminant lentivirus	It-03g08	Italy	2006
alignment/AL_SRLV/member/ncbi-curated-srlv/EF676013	EF676013	18024912	Small ruminant lentivirus	It-045g05	Italy	2006
alignment/AL_SRLV/member/ncbi-curated-srlv/EF676014	EF676014	18024912	Small ruminant lentivirus	It-051g06	Italy	2006
alignment/AL_SRLV/member/ncbi-curated-srlv/EF676015	EF676015	18024912	Small ruminant lentivirus	It-052g06	Italy	2006
alignment/AL_SRLV/member/ncbi-curated-srlv/EF676016	EF676016	18024912	Small ruminant lentivirus	It-053s01	Italy	2006
alignment/AL_SRLV/member/ncbi-curated-srlv/EF676017	EF676017	18024912	Small ruminant lentivirus	It-060s01	Italy	2006
alignment/AL_SRLV/member/ncbi-curated-srlv/EF676018	EF676018	18024912	Small ruminant lentivirus	It-063s01	Italy	2006
