taxon	sequenceID	pubmed_id	name	isolate	country	collection_year
alignment/AL_SRLV/member/ncbi-curated-srlv/AM084203	AM084203	17349752	Small ruminant lentivirus	B_S23	Finland	1994
alignment/AL_SRLV/member/ncbi-curated-srlv/AM084204	AM084204	17349752	Small ruminant lentivirus	B_S604	Finland	1994
alignment/AL_SRLV/member/ncbi-curated-srlv/AM084205	AM084205	17349752	Small ruminant lentivirus	C6_S1	Finland	1994
alignment/AL_SRLV/member/ncbi-curated-srlv/AM084206	AM084206	17349752	Small ruminant lentivirus	D4_S1	Finland	1995
alignment/AL_SRLV/member/ncbi-curated-srlv/AM084207	AM084207	17349752	Small ruminant lentivirus	D5_S4	Finland	1996
alignment/AL_SRLV/member/ncbi-curated-srlv/AM084208	AM084208	17349752	Small ruminant lentivirus	E_S1	Finland	1995
alignment/AL_SRLV/member/ncbi-curated-srlv/AM084209	AM084209	17349752	Small ruminant lentivirus	Lotta	Finland	2001
alignment/AL_SRLV/member/ncbi-curated-srlv/AM419950	AM419950	17349752	Small ruminant lentivirus	-	-	-
alignment/AL_SRLV/member/ncbi-curated-srlv/AY265455	AY265455	15778023	Ovine lentivirus	It-561	Italy	1991
alignment/AL_SRLV/member/ncbi-curated-srlv/AY265456	AY265456	15778023	Ovine lentivirus	It-Pi1	Italy	1991
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454161	AY454161	14967484	Small ruminant lentivirus	SNCR4668	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454162	AY454162	14967484	Small ruminant lentivirus	SNCR4861	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454163	AY454163	14967484	Small ruminant lentivirus	SNCR4863	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454164	AY454164	14967484	Small ruminant lentivirus	SNCR5056	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454165	AY454165	14967484	Small ruminant lentivirus	SNCR5057	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454166	AY454166	14967484	Small ruminant lentivirus	SNCR5058	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454167	AY454167	14967484	Small ruminant lentivirus	SNCR5059	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454168	AY454168	14967484	Small ruminant lentivirus	SNCR5466	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454169	AY454169	14967484	Small ruminant lentivirus	SNCR5472	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454170	AY454170	14967484	Small ruminant lentivirus	SNCR5473	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454171	AY454171	14967484	Small ruminant lentivirus	SNCR5484	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454172	AY454172	14967484	Small ruminant lentivirus	SNCR5518	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454173	AY454173	14967484	Small ruminant lentivirus	SNCR5525	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454174	AY454174	14967484	Small ruminant lentivirus	SNCR5526	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454176	AY454176	14967484	Small ruminant lentivirus	SNCR5561	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454177	AY454177	14967484	Small ruminant lentivirus	SNCR5563	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454178	AY454178	14967484	Small ruminant lentivirus	SNCR5564	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454179	AY454179	14967484	Small ruminant lentivirus	SNCR5568	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454180	AY454180	14967484	Small ruminant lentivirus	SNCR5570	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454181	AY454181	14967484	Small ruminant lentivirus	SNCR5571	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454182	AY454182	14967484	Small ruminant lentivirus	SNCR5572	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454183	AY454183	14967484	Small ruminant lentivirus	SNCR5574	Switzerland	1999
alignment/AL_SRLV/member/ncbi-curated-srlv/AY454184	AY454184	14967484	Small ruminant lentivirus	SNCR5576	Switzerland	1999
