sequenceID,name,full_name,subfamily,subgroup,clade,genus,subgenus,host_common_name,Host_common_name,Isolate,Year,Country
M32690,Bovine immunodeficiency virus,BIV ,Orthoretrovirinae,,Clade II,Lentivirus,Non-primate,Domestic cow,Bos taurus,,,
X52154,Chimpanzee immunodeficieny virus,SIVcpz ,Orthoretrovirinae,cpz,Clade II,Lentivirus,Primate,Common chimpanzee,Pan troglodytes,,,
AF016316,Equine infectious anemia virus America strain,EIAV ,Orthoretrovirinae,,Clade II,Lentivirus,Non-primate,Domestic horse,Equus caballus,,,
EF455613,Feline immunodeficiency virus,FIV.Pco ,Orthoretrovirinae,,Clade II,Lentivirus,Non-primate,Cougar,Puma concolor,,,
U56928,Feline immunodeficiency virus ,FIV.Oma ,Orthoretrovirinae,,Clade II,Lentivirus,Non-primate,Pallas's cat,Otocolobus manul,,,
X57002,Feline immunodeficiency virus (Petaluma),FIV.P ,Orthoretrovirinae,,Clade II,Lentivirus,Non-primate,Domestic cat,Felis catus,,,
AF033819,Human immunodeficiency virus 1 (Main group),HIV-1M ,Orthoretrovirinae,M,Clade II,Lentivirus,Primate,Human,Homo sapiens,,,
M30502,Human immunodeficiency virus 2 subtype A,HIV-2,Orthoretrovirinae,A,Clade II,Lentivirus,Primate,human,Homo sapiens,BEN,-,Germany
X61240,Human immunodeficiency virus 2 subtype B,HIV-2,Orthoretrovirinae,B,Clade II,Lentivirus,Primate,human,Homo sapiens,D205_ALT,1986,Ghana
U21603,Jembrana disease virus,JDV ,Orthoretrovirinae,,Clade II,Lentivirus,Non-primate,Balinese cattle,Bos javanicus domesticus,,,
AF188116,Simian immunodeficiency virus,SIVlhoest ,Orthoretrovirinae,lhoest,Clade II,Lentivirus,Primate,L'Hoest's monkey,Cercopithecus lhoesti,,,
L06042,Simian immunodeficiency virus,SIVsykes ,Orthoretrovirinae,sykes,Clade II,Lentivirus,Primate,Sykes' monkey,Cercopithecus albogularis,,,
U04005,Simian immunodeficiency virus,SIVagm.sab-1 ,Orthoretrovirinae,sab-1,Clade II,Lentivirus,Primate,African green monkey, sabaeus,Cercopithecus sabaeus,,,
U58991,Simian immunodeficiency virus,SIVagm.tan-1 ,Orthoretrovirinae,agm.tan-1,Clade II,Lentivirus,Primate,African green monkey, tantalus,Cercopithecus tantalus,,,
X14307,Simian immunodeficiency virus,SIVsmm ,Orthoretrovirinae,smm,Clade II,Lentivirus,Primate,Sooty mangabey monkey,Cercocebus atys,,,
M27470,Simian immunodeficiency virus (Mandrillus sphinx),SIVmnd ,Orthoretrovirinae,mnd,Clade II,Lentivirus,Primate,Mandrill,Mandrillus sphinx,,,
M60609,Small ruminant lentivirus genotype A (Visna-Maedi Virus),SRLV-A ,Orthoretrovirinae,,Clade II,Lentivirus,Non-primate,Sheep,Ovis aries,,,
M33677,Small ruminant lentivirus genotype B (Caprine arthritis-encephalitis virus),SRLV-B ,Orthoretrovirinae,,Clade II,Lentivirus,Non-primate,Goats,Capra aegagrus hircus,,,
